CustomerKey,OrderDate,ProductKey,year,Teritory,sub_category,main_category,OrderQuantity,Age,Price,Cost,Payed
11754,2020-01-16,345,2020,Australia,1,1,1,50,3399.99,1912.15,3399.99
28624,2020-02-17,312,2020,Canada,2,1,1,62,3578.27,2171.29,3578.27
11906,2020-03-13,350,2020,Australia,1,1,1,53,3374.99,1898.09,3374.99
11812,2020-04-05,312,2020,Northwest,2,1,1,53,3578.27,2171.29,3578.27
19443,2020-04-12,338,2020,Germany,2,1,1,69,699.1,413.15,699.1
26018,2020-04-25,347,2020,Northwest,1,1,1,62,3399.99,1912.15,3399.99
28491,2020-05-22,350,2020,France,1,1,1,59,3374.99,1898.09,3374.99
15100,2020-07-07,379,2020,Germany,2,1,1,74,2181.56,1320.68,2181.56
26201,2020-07-13,354,2020,Southwest,1,1,1,52,2071.42,1117.86,2071.42
28802,2020-08-04,369,2020,Canada,2,1,1,48,2443.35,1518.79,2443.35
13329,2020-08-14,368,2020,Southwest,2,1,1,81,2443.35,1518.79,2443.35
28848,2020-08-14,377,2020,Canada,2,1,1,53,2181.56,1320.68,2181.56
26308,2020-09-10,354,2020,Northwest,1,1,1,51,2071.42,1117.86,2071.42
13433,2020-09-19,373,2020,Southwest,2,1,1,64,2181.56,1320.68,2181.56
12130,2020-11-09,352,2020,Germany,1,1,1,64,2071.42,1117.86,2071.42
26013,2021-01-18,369,2021,Canada,2,1,1,63,2443.35,1518.79,2443.35
15548,2021-02-26,332,2021,Southwest,2,1,1,61,699.1,413.15,699.1
20982,2021-03-08,342,2021,United Kingdom,2,1,1,79,699.1,413.15,699.1
27090,2021-03-28,362,2021,Southwest,1,1,1,52,2049.1,1105.81,2049.1
11339,2021-04-10,360,2021,France,1,1,1,60,2049.1,1105.81,2049.1
27235,2021-04-24,358,2021,Northwest,1,1,1,62,2049.1,1105.81,2049.1
12816,2021-05-23,360,2021,Germany,1,1,1,55,2049.1,1105.81,2049.1
12130,2021-07-03,223,2021,Germany,19,3,2,65,8.64,5.71,17.28
12130,2021-07-03,389,2021,Germany,2,1,1,65,1000.44,605.65,1000.44
12130,2021-07-03,490,2021,Germany,21,3,1,65,53.99,41.57,53.99
20982,2021-07-04,223,2021,United Kingdom,19,3,2,79,8.64,5.71,17.28
